iter	Passed	Remaining
0	53	26472
1	101	25260
2	153	25431
3	200	24902
4	249	24706
5	298	24604
6	347	24492
7	396	24376
8	442	24156
9	491	24106
10	539	23963
11	589	23971
12	640	23993
13	687	23852
14	735	23777
15	790	23899
16	855	24303
17	921	24677
18	975	24708
19	1039	24947
20	1095	24998
21	1157	25139
22	1212	25143
23	1276	25311
24	1337	25421
25	1400	25537
26	1462	25612
27	1520	25624
28	1583	25711
29	1657	25969
30	1744	26392
31	1801	26351
32	1856	26266
33	1912	26211
34	1968	26154
35	2026	26125
36	2087	26116
37	2141	26036
38	2198	25986
39	2252	25902
40	2308	25841
41	2363	25772
42	2416	25681
43	2467	25575
44	2521	25490
45	2573	25395
46	2625	25302
47	2677	25216
48	2729	25126
49	2784	25064
50	2835	24964
51	2887	24877
52	2939	24790
53	2993	24723
54	3045	24643
55	3117	24713
56	3180	24719
57	3241	24699
58	3303	24695
59	3367	24697
60	3421	24624
61	3478	24570
62	3533	24509
63	3593	24478
64	3654	24459
65	3710	24399
66	3764	24328
67	3822	24281
68	3886	24274
69	4004	24596
70	4084	24682
71	4154	24696
72	4227	24728
73	4290	24700
74	4351	24658
75	4411	24610
76	4467	24542
77	4525	24486
78	4584	24433
79	4643	24375
80	4707	24351
81	4766	24297
82	4834	24289
83	4899	24264
84	4963	24231
85	5022	24175
86	5079	24113
87	5132	24029
88	5190	23969
89	5246	23900
90	5305	23846
91	5363	23786
92	5419	23718
93	5476	23651
94	5555	23684
95	5664	23836
96	5738	23839
97	5933	24339
98	6024	24403
99	6117	24468
100	6219	24569
101	6326	24685
102	6386	24614
103	6447	24548
104	6503	24464
105	6560	24386
106	6618	24309
107	6674	24227
108	6734	24155
109	6796	24098
110	6870	24076
111	6947	24068
112	7017	24032
113	7083	23984
114	7143	23915
115	7208	23861
116	7278	23827
117	7335	23747
118	7391	23665
119	7447	23585
120	7504	23506
121	7566	23444
122	7649	23447
123	7721	23415
124	7791	23374
125	7861	23334
126	7929	23288
127	7995	23238
128	8063	23190
129	8132	23147
130	8199	23097
131	8265	23044
132	8334	22998
133	8402	22949
134	8534	23074
135	8633	23108
136	8693	23033
137	8752	22959
138	8812	22888
139	8869	22806
140	8925	22725
141	8977	22633
142	9033	22552
143	9089	22471
144	9142	22384
145	9200	22308
146	9259	22235
147	9315	22156
148	9377	22090
149	9433	22010
150	9484	21921
151	9547	21858
152	9655	21897
153	9723	21847
154	9787	21784
155	9878	21783
156	9968	21778
157	10028	21707
158	10087	21634
159	10144	21557
160	10198	21473
161	10254	21394
162	10308	21313
163	10367	21241
164	10427	21170
165	10480	21087
166	10545	21027
167	10628	21003
168	10688	20934
169	10745	20858
170	10840	20856
171	10914	20813
172	10970	20736
173	11027	20661
174	11084	20586
175	11140	20509
176	11198	20435
177	11265	20378
178	11320	20301
179	11375	20223
180	11432	20148
181	11482	20062
182	11533	19978
183	11587	19900
184	11641	19822
185	11695	19743
186	11747	19662
187	11800	19583
188	11854	19506
189	11905	19425
190	11961	19351
191	12020	19282
192	12079	19215
193	12136	19143
194	12193	19071
195	12252	19004
196	12302	18922
197	12355	18844
198	12405	18763
199	12457	18686
200	12509	18607
201	12562	18532
202	12613	18454
203	12667	18380
204	12719	18303
205	12770	18225
206	12819	18145
207	12871	18069
208	12923	17994
209	12977	17921
210	13044	17866
211	13117	17820
212	13175	17752
213	13229	17680
214	13286	17612
215	13339	17539
216	13388	17460
217	13439	17385
218	13488	17307
219	13537	17230
220	13591	17158
221	13653	17097
222	13712	17032
223	13762	16957
224	13819	16890
225	13869	16815
